county,state,Crude Death Rate (2010-2013),Death Count (2010-2013),Crude Opioid Death Rate (2010-2013),Opioid Death Count (2010-2013),Crude Opioid Death Rate (2014-2017),Opioid Death Count (2014-2017),Crude Opioid Death Rate (2018-2021),Opioid Death Count (2018-2021),Number of Mental Health Facilities (As of March 2023)
Stephens County,Georgia,31.5,21,19.5*,13,,13,Suppressed,Suppressed,1.0
Stewart County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Sumter County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,2.0
Talbot County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Taliaferro County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Tattnall County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,,14,Suppressed,Suppressed,1.0
Taylor County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Telfair County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Terrell County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Thomas County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,2.0
Tift County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18.2*,19,1.0
Toombs County,Georgia,16.2*,11,Suppressed,Suppressed,,10,Suppressed,Suppressed,2.0
Towns County,Georgia,53.7*,13,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Treutlen County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Troup County,Georgia,19.6,35,11.2,20,16,29,15.5,28,1.0
Turner County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Twiggs County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Union County,Georgia,24.4*,12,Suppressed,Suppressed,Suppressed,Suppressed,24.4*,13,2.0
Upson County,Georgia,23.1*,16,Suppressed,Suppressed,,11,Suppressed,Suppressed,2.0
Walker County,Georgia,24.6,44,14,25,16.4,29,28.4,50,0.0
Walton County,Georgia,22.6,50,14.5,32,20.4,47,21,52,1.0
Ware County,Georgia,13.9*,13,Suppressed,Suppressed,,17,28.2,25,3.0
Warren County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Washington County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Wayne County,Georgia,34,27,13.8*,11,,16,20.8*,16,0.0
Webster County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Wheeler County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
White County,Georgia,34.6,24,23.1*,16,,14,30,22,1.0
Whitfield County,Georgia,22.5,60,13.1,35,11.1,30,13.8,37,0.0
Wilcox County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Wilkes County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Wilkinson County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0.0
Worth County,Georgia,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21.8*,11,0.0
